,0
0,0.39195352037566067
1,0.6595512277118547
2,0.7995457869072793
3,0.884398816153355
4,0.9161945260482652
5,0.93902255217581
6,0.9546119069964878
7,0.9640261430493655
8,0.9708264475467576
9,0.9775116752115154
10,0.9827568703471319
11,0.9866300747420216
12,0.9893899771572224
13,0.9912813066313293
14,0.9927249505605391
15,0.9939936462308654
16,0.9949030265591533
17,0.9957867702721444
18,0.9965003034256992
19,0.997011099068938
20,0.9973864544146137
21,0.9976906333662505
22,0.9979658111830331
23,0.998185418631761
24,0.9983816344039409
25,0.998538291238012
26,0.9986893939745354
27,0.9988366277508968
28,0.9989577729146278
29,0.999057430434029
30,0.9991502936137303
31,0.9992315942884257
32,0.9993064409411807
33,0.9993690051128724
34,0.9994276515675564
35,0.9994757415564451
36,0.9995190639079222
37,0.9995598227273962
38,0.9995935898667783
39,0.9996234720669896
40,0.9996521897423704
41,0.9996790303733267
42,0.9997019113976223
43,0.9997234471109969
44,0.9997428878484332
45,0.9997619904816468
46,0.9997794237765301
47,0.9997944672030625
48,0.9998089494664252
49,0.9998219479720579
50,0.9998336749910789
51,0.9998442771523542
52,0.9998543659519867
53,0.9998636407300204
54,0.99987262793186
55,0.9998812302305364
56,0.9998888295502432
57,0.9998958615034249
58,0.9999023912823027
59,0.9999085256078427
60,0.9999142252876639
61,0.9999192763682155
62,0.9999239686697459
63,0.9999286290524434
64,0.9999330950128855
65,0.9999373360035889
66,0.9999410882928664
67,0.9999446709900244
68,0.9999480840818609
69,0.9999513606707356
70,0.9999543987050815
71,0.9999571630469777
72,0.9999597811056123
73,0.9999622753004639
74,0.9999646961597092
75,0.9999668544578283
76,0.9999688409967669
77,0.9999708081551328
78,0.9999724548862168
79,0.9999739907794771
80,0.9999754555126261
81,0.9999768533024389
82,0.9999782057913232
83,0.9999794721312533
84,0.9999806466094366
85,0.9999816823056924
86,0.9999826831791004
87,0.9999836182736168
88,0.9999845181549805
89,0.9999852769429796
90,0.9999860294506119
91,0.9999867049262426
92,0.9999873576988708
93,0.9999879922715184
94,0.9999885969967297
95,0.9999891890325058
96,0.9999897484323647
97,0.9999902916629909
98,0.99999077927334
99,0.9999912461257019
100,0.9999916737034076
101,0.999992090144504
102,0.9999924730053945
103,0.9999928479943939
104,0.9999932036922077
105,0.999993532778197
106,0.9999938519764254
107,0.9999941464033512
108,0.9999944240291782
109,0.9999946928470909
110,0.9999949451688999
111,0.9999951918062248
112,0.9999954168348915
113,0.9999956363596781
114,0.9999958457539562
115,0.9999960437986645
116,0.9999962317652338
117,0.9999964121433225
118,0.999996583524749
119,0.999996748728885
120,0.999996903576963
121,0.9999970548732766
122,0.9999971968045132
123,0.9999973262789635
124,0.9999974520430709
125,0.999997570464482
126,0.9999976842297265
127,0.9999977931780502
128,0.9999979008520166
129,0.999998002717929
130,0.999998096736636
131,0.9999981873223527
132,0.9999982741674579
133,0.9999983585645168
134,0.9999984357658133
135,0.9999985062341362
136,0.9999985749787775
137,0.9999986419828446
138,0.9999987065692151
139,0.9999987695184753
140,0.9999988283657152
141,0.9999988844339947
142,0.999998936416342
143,0.9999989867084427
144,0.9999990362405263
145,0.9999990813795456
146,0.999999124036643
147,0.9999991656561513
148,0.9999992053449539
149,0.9999992425727946
150,0.9999992788450368
151,0.9999993145598063
152,0.9999993481004639
153,0.9999993807140212
154,0.9999994118494218
155,0.9999994414279378
156,0.9999994699232738
157,0.9999994965075788
158,0.9999995219103027
159,0.9999995456410832
160,0.9999995685875344
161,0.9999995906782426
162,0.9999996112936415
163,0.9999996314470151
164,0.9999996510327833
165,0.9999996700243796
166,0.9999996877383539
167,0.9999997046633878
168,0.9999997202252836
169,0.9999997349619814
170,0.9999997490561269
171,0.9999997626452765
172,0.9999997751837281
173,0.999999787064352
174,0.9999997983691292
175,0.9999998090202362
176,0.9999998192910192
177,0.999999829101887
178,0.9999998383762827
179,0.999999847261226
180,0.9999998557334935
181,0.9999998637125624
182,0.9999998714483083
183,0.9999998786702048
184,0.9999998856953116
185,0.9999998923801671
186,0.9999998987489375
187,0.9999999050919369
188,0.9999999108898753
189,0.9999999160945212
190,0.9999999210835026
191,0.9999999258791096
192,0.9999999303890799
193,0.9999999344145967
194,0.9999999383252007
195,0.9999999420928134
196,0.999999945494367
197,0.9999999487246668
198,0.9999999519223726
199,0.9999999548594939
200,0.9999999576716242
201,0.9999999604348672
202,0.9999999630648024
203,0.9999999655830216
204,0.9999999678283684
205,0.9999999699906228
206,0.9999999720267739
207,0.9999999739739536
208,0.9999999758195802
209,0.9999999774289098
210,0.9999999790053212
211,0.9999999804555706
212,0.9999999818529698
213,0.9999999831485838
214,0.9999999844093775
215,0.9999999856051086
216,0.9999999866712757
217,0.999999987676464
218,0.9999999886289944
219,0.9999999895322207
220,0.999999990388327
221,0.9999999911830336
222,0.9999999918990825
223,0.9999999925827936
224,0.9999999932205708
225,0.9999999937751385
226,0.9999999943034994
227,0.9999999947932298
228,0.9999999952632876
229,0.9999999957083782
230,0.9999999961261944
231,0.9999999965365469
232,0.9999999968989824
233,0.9999999972189173
234,0.9999999975244372
235,0.9999999978052614
236,0.9999999980606886
237,0.9999999982939755
238,0.9999999985052496
239,0.9999999987125514
240,0.9999999988829199
241,0.9999999990421844
242,0.9999999991836904
243,0.9999999993067472
244,0.9999999994120603
245,0.9999999995072821
246,0.9999999995816832
247,0.9999999996543913
248,0.9999999997173984
249,0.9999999997762692
250,0.9999999998303096
251,0.9999999998783703
252,0.9999999999170325
253,0.9999999999489018
254,0.9999999999764645
255,0.9999999999999999
